trading_date,stage_no,stage_name,stage_status,is_success,is_reused,is_repaired,is_failed,is_skipped,is_core_realtime_required,policy_rejected,policy_expected,violation_type,policy_message,entry_type,entry_target,artifact_files
2026-03-20,0,行情快照补数层,SUCCESS_EXECUTED,True,False,False,False,False,False,False,REUSE_ALLOWED,,,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_market_snapshot,
2026-03-20,1,每日候选股生成层,SUCCESS_EXECUTED,True,False,False,False,False,True,False,REALTIME_REQUIRED,,,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_daily_candidates,
2026-03-20,2,每日交易计划生成层,SUCCESS_EXECUTED,True,False,False,False,False,True,False,REALTIME_REQUIRED,,,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_trade_plan,
2026-03-20,3,组合层,SUCCESS_EXECUTED,True,False,False,False,False,False,False,REUSE_ALLOWED,,,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_portfolio_plan,
2026-03-20,4,组合风控复核层,SUCCESS_EXECUTED,True,False,False,False,False,True,False,REALTIME_REQUIRED,,,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_portfolio_risk_review,
2026-03-20,5,组合执行优先级层,SUCCESS_EXECUTED,True,False,False,False,False,True,False,REALTIME_REQUIRED,,,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_execution_priority,
2026-03-20,6,开盘动态执行层,SUCCESS_EXECUTED,True,False,False,False,False,True,False,REALTIME_REQUIRED,,,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_open_execution,
2026-03-20,7,盘中二次确认层,SUCCESS_EXECUTED,True,False,False,False,False,True,False,REALTIME_REQUIRED,,,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_intraday_recheck,
2026-03-20,8,收盘复盘层,SUCCESS_EXECUTED,True,False,False,False,False,False,False,REUSE_ALLOWED,,,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_close_review,
2026-03-20,9,次日持仓续管层,SUCCESS_EXECUTED,True,False,False,False,False,False,False,REUSE_ALLOWED,,,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_next_day_management,
2026-03-20,10,真实交易流水对账层,SUCCESS_EXECUTED,True,False,False,False,False,False,False,REUSE_ALLOWED,,,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_trade_reconciliation,
2026-03-20,11,对账异常归因层,SUCCESS_EXECUTED,True,False,False,False,False,False,False,REUSE_ALLOWED,,,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_reconciliation_attribution,
2026-03-20,12,异常闭环复盘层,SUCCESS_EXECUTED,True,False,False,False,False,False,False,REUSE_ALLOWED,,,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_reconciliation_review,
2026-03-20,13,异常注入回放验证层,SKIPPED,False,False,False,False,True,False,False,REUSE_ALLOWED,,,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_replay_validation,
2026-03-20,15,主控后自动验收层 + 运行模式标识层,SUCCESS_EXECUTED,True,False,False,False,False,False,False,REUSE_ALLOWED,,,,,
