代码,买入日期,买入价格,卖出日期,卖出价格,盈亏(%),卖出原因,持仓天数
688035,2026-01-08,51.72,2026-02-02,51.5,-0.58,跌破均线,25
605318,2025-08-22,31.92,2025-09-03,30.87,-3.44,跌破均线,12
688035,2025-08-14,46.93,2025-08-18,52.13,10.9,移动止盈,4
605287,2025-07-02,14.85,2025-07-31,15.37,3.34,跌破均线,29
301580,2025-07-15,43.4,2025-07-28,52.67,21.16,移动止盈,13
301389,2025-06-20,23.25,2025-07-04,28.6,22.84,移动止盈,14
605287,2025-06-03,13.94,2025-06-19,13.25,-5.1,跌破均线,16
301580,2025-06-10,41.05,2025-06-13,38.68,-5.92,跌破均线,3
688480,2025-03-11,32.18,2025-04-07,29.6,-8.15,硬止损,27
605318,2024-10-08,18.81,2024-10-09,17.31,-8.15,硬止损,1
605287,2024-01-03,18.54,2024-01-04,17.06,-8.15,硬止损,1
688480,2023-11-08,34.34,2023-12-01,38.67,12.43,移动止盈,23
605318,2023-08-03,15.26,2023-08-21,15.05,-1.56,跌破均线,18
605287,2023-07-26,19.62,2023-08-10,18.05,-8.15,硬止损,15
301196,2023-07-21,34.71,2023-07-26,32.5,-6.54,跌破均线,5
000628,2023-06-19,16.1,2023-06-26,14.81,-8.15,硬止损,7
605287,2023-05-05,17.58,2023-05-29,17.04,-3.22,跌破均线,24
300835,2023-02-01,40.78,2023-02-16,40.39,-1.12,跌破均线,15
605318,2022-08-17,16.1,2022-08-31,15.34,-4.87,跌破均线,14
605318,2021-12-20,16.08,2021-12-24,17.82,10.63,移动止盈,4
000628,2021-11-19,8.69,2021-11-25,9.84,13.04,移动止盈,6
