feature,A_gain,A_split,B_gain,B_split,A_gain_pct,B_gain_pct,avg_gain_pct,A_split_pct,B_split_pct,avg_split_pct,A_gain_pct_str,B_gain_pct_str,avg_gain_pct_str,A_split_pct_str,B_split_pct_str,avg_split_pct_str
atr_14,857061.6146087646,208,151956.70611572266,199,0.43413961714938404,0.1753924836219772,0.3047660503856806,0.12380952380945011,0.1474074074072982,0.13560846560837417,43.41%,17.54%,30.48%,12.38%,14.74%,13.56%
ma5_bias,261935.90906524658,276,158404.31661987305,149,0.13268212382976918,0.18283448765494748,0.15775830574235833,0.1642857142856165,0.11037037037028861,0.13732804232795257,13.27%,18.28%,15.78%,16.43%,11.04%,13.73%
hl_ratio,330266.4431838989,181,81625.39081573486,151,0.16729456174116283,0.09421420342504362,0.13075438258310323,0.10773809523803111,0.111851851851769,0.10979497354490006,16.73%,9.42%,13.08%,10.77%,11.19%,10.98%
v_dry,74080.06030273438,106,127077.3073425293,85,0.03752482723533643,0.14667601790358495,0.09210042256946069,0.06309523809520054,0.06296296296291633,0.06302910052905844,3.75%,14.67%,9.21%,6.31%,6.3%,6.3%
ma20_bias,55109.22087097168,132,53356.29109954834,105,0.02791525794939017,0.061585254458465105,0.04475025620392764,0.0785714285713818,0.07777777777772016,0.07817460317455098,2.79%,6.16%,4.48%,7.86%,7.78%,7.82%
winner_ratio,61902.55879974365,178,49943.85785293579,92,0.03135638409165678,0.057646532979060416,0.0445014585353586,0.10595238095231789,0.06814814814809766,0.08705026455020778,3.14%,5.76%,4.45%,10.6%,6.81%,8.71%
ma60_bias,79091.75370025635,113,42224.743381500244,90,0.0400634716172383,0.04873692514986476,0.044400198383551526,0.06726190476186472,0.06666666666661729,0.06696428571424101,4.01%,4.87%,4.44%,6.73%,6.67%,6.7%
rsi_14,23126.955947875977,68,65929.32580566406,126,0.011714826133736955,0.07609738650015052,0.043906106316943735,0.040476190476166386,0.0933333333332642,0.0669047619047153,1.17%,7.61%,4.39%,4.05%,9.33%,6.69%
cost_concentration,98550.54225158691,69,19370.285858154297,51,0.049920208715097676,0.022357700637062057,0.03613895467607987,0.041071428571404126,0.037777777777749794,0.03942460317457696,4.99%,2.24%,3.61%,4.11%,3.78%,3.94%
rs_rank,52588.27453613281,137,34439.03183746338,84,0.026638287124882195,0.039750449203005356,0.03319436816394378,0.0815476190475705,0.06222222222217613,0.07188492063487331,2.66%,3.98%,3.32%,8.15%,6.22%,7.19%
v_ratio,39945.54203796387,102,30672.20464324951,80,0.020234183904155583,0.03540267677587181,0.027818430340013696,0.060714285714249576,0.059259259259215366,0.05998677248673247,2.02%,3.54%,2.78%,6.07%,5.93%,6.0%
v_trend,26181.867973327637,64,27628.409744262695,67,0.013262274198786572,0.031889447510671486,0.022575860854729027,0.03809523809521542,0.049629629629592865,0.04386243386240414,1.33%,3.19%,2.26%,3.81%,4.96%,4.39%
ind_excess,12290.870010375977,35,20161.68854522705,58,0.0062258693071597345,0.023271158729033917,0.014748514018096825,0.020833333333320932,0.04296296296293114,0.03189814814812603,0.62%,2.33%,1.47%,2.08%,4.3%,3.19%
ind_rank,2029.6490173339844,11,3591.3876724243164,13,0.0010281070022430433,0.004145275451260114,0.002586691226751579,0.00654761904761515,0.009629629629622497,0.008088624338618823,0.1%,0.41%,0.26%,0.65%,0.96%,0.81%
